time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765408196.061811,-7.829985,1.781444,6.341463,-0.009163,-0.010079,-0.001374
1765408196.062011,-7.882591,1.794596,6.372549,-0.008705,-0.002138,-0.002749
1765408196.062211,-7.715207,1.808943,6.142993,-0.008399,-0.002138,0.000153
1765408196.062411,-7.618961,1.774868,6.010282,-0.008858,-0.004887,-0.000611
1765408196.062682,-7.777976,1.808943,6.278694,-0.009621,-0.006567,0.000305
1765408196.062932,-7.893352,1.796389,6.346245,-0.008094,-0.007941,0.000153
1765408196.063182,-7.710425,1.783835,6.073648,-0.007941,-0.006109,-0.000764
1765408196.063432,-7.683524,1.780248,6.003706,-0.008858,-0.006109,-0.001680
1765408196.063643,-7.813246,1.725849,6.172883,-0.008858,-0.006872,-0.001680
1765408196.063843,-8.108559,1.698948,6.474174,-0.006567,-0.012065,-0.002291
1765408196.064043,-8.222141,1.671449,6.506456,-0.008094,-0.005498,-0.005345
1765408196.064243,-8.168340,1.589550,6.203969,-0.006567,-0.016493,-0.006567
1765408196.064443,-8.305834,1.633190,6.174078,-0.002443,-0.016493,-0.011301
1765408196.064594,-8.563485,1.633190,6.496891,-0.001374,-0.015730,-0.017104
1765408196.064844,-8.614299,1.521999,6.431730,-0.000916,-0.013134,-0.018021
1765408196.065094,-8.639406,1.465806,6.349832,0.001222,-0.013134,-0.022907
1765408196.065344,-8.656144,1.480153,6.183643,0.002138,-0.021533,-0.031460
1765408196.065593,-8.761356,1.459828,6.144189,0.002596,-0.025045,-0.038943
1765408196.065843,-8.821734,1.519608,6.021042,0.012370,-0.023976,-0.042302
1765408196.066093,-8.742228,1.602104,5.985174,0.014050,-0.012370,-0.043982
1765408196.066343,-8.988521,1.597322,6.368961,0.014813,-0.011606,-0.048564
1765408196.066570,-9.181013,1.597322,6.540530,0.014813,-0.015119,-0.048564
1765408196.066820,-9.018411,1.775466,6.180056,0.016493,-0.015882,-0.055283
1765408196.067070,-8.841462,2.027738,5.920611,0.016952,-0.015577,-0.060628
1765408196.067320,-8.939502,2.113821,6.138211,0.017257,-0.023518,-0.054367
1765408196.067585,-9.463174,1.719273,6.224892,0.016952,-0.021533,-0.045509
1765408196.067835,-9.216881,1.487924,6.527379,0.019853,-0.019548,-0.051465
