time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
0.0,-9.716641,-1.621234,0.559541,-0.008399,-0.01237,-0.000458
0.0025,-9.843662968350811,-1.6323087007054338,0.6840477738036226,-0.006340330333651096,-0.006786203584366063,0.0028283303336510968
0.005,-10.29265947290753,-2.036163335557674,1.0849141102001907,-0.012312629933269783,-0.009782251897044804,-0.029343236530028603
0.0075,-10.222979,-2.43185,0.881157,-0.026114,-0.024727024556720677,-0.044288
0.01,-10.426902612850334,-2.0280254820209724,1.3993727860819827,-0.02409810684461392,-0.023336215595805534,-0.07030468266920878
0.0125,-10.594907490371783,-2.239570390085796,1.4887814634890382,-0.01654239447092471,-0.028280931172545293,-0.0829550106768351
0.015,-10.820425387058824,-1.997700108235294,1.4061011964705892,-0.0055193611764705955,-0.015270303529411774,-0.08270343764705883
0.0175,-10.18703435755958,-2.18865181574833,1.1609224711153483,0.03329021620591052,0.005351996339370787,-0.07296226665395612
0.02,-11.715686,-2.089909,2.844332,0.060781,0.07215243454718782,-0.025962
0.0225,-10.761354660839693,-2.865844722938932,1.3468082487786224,0.10070541206106871,0.09312376683206103,0.013800388473282459
0.025,-10.706805722058022,-2.6871386122605347,1.6705363034482767,0.12421300470717024,0.074831,0.06126682933771207
0.0275,-11.304167966901812,-2.4243274015633935,1.6041516872068642,0.1536401685033365,0.12868556430886557,0.09882550329837941
0.03,-10.821077708102955,-3.0102721616015264,0.8258002758436613,0.15650147004766435,0.12566636038131554,0.1466268529265967
0.0325,-10.18637169651096,-1.632757853956147,0.9320914876644413,0.15009227633937083,0.13067029891325072,0.2240969254146808

