time,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
1766534328.062017,-6.807747,4.647895,5.943328,-0.007483,-0.006720,-0.002291,-6.591343,4.582735,5.765183,0.006720,-0.012065,0.002902,-6.605690,4.894787,5.859635,-0.013439,0.004276,-0.003971,-6.402438,4.671807,5.717360,0.008552,0.009621,-0.007330
1766534328.062017,-6.779650,4.635342,5.855451,-0.009774,-0.007025,-0.001374,-6.548302,4.554040,5.754423,0.004276,-0.006261,0.003665,-6.599712,4.869679,5.884743,-0.008705,0.006567,-0.002749,-6.415590,4.661644,5.712577,0.004581,0.009468,-0.004581
1766534328.062017,-6.667861,4.683165,5.701817,-0.008552,-0.007025,-0.001222,-6.421568,4.599473,5.730511,0.004276,-0.012217,0.001374,-6.443089,4.904351,5.700621,-0.010690,0.005956,-0.003207,-6.269727,4.698111,5.732304,0.009621,0.004429,-0.005498
1766534328.062017,-6.586561,4.661644,5.708393,-0.007025,-0.009316,-0.002443,-6.363582,4.624581,5.750836,0.003971,-0.011606,0.003971,-6.386895,4.891798,5.738880,-0.010843,0.001527,-0.003360,-6.186035,4.702295,5.760401,0.005651,0.001527,-0.006109
1766534328.062017,-6.606288,4.676589,5.761597,-0.008094,-0.009927,-0.000764,-6.365375,4.591105,5.767575,0.003971,-0.014355,0.005192,-6.392873,4.921090,5.777139,-0.011606,0.004887,-0.004276,-6.178861,4.705882,5.768172,0.006567,0.001527,-0.005192
1766534328.062017,-6.636776,4.673601,5.698230,-0.006720,-0.009316,-0.000458,-6.403634,4.609038,5.709588,0.001680,-0.012523,0.003207,-6.432328,4.919894,5.736489,-0.011454,0.004123,-0.004734,-6.235652,4.726207,5.687469,0.007025,0.005956,-0.005345
1766534328.062017,-6.671448,4.662840,5.775345,-0.009621,-0.003512,-0.000458,-6.447273,4.539693,5.750238,0.005803,-0.011148,0.002291,-6.424557,4.894787,5.726924,-0.011454,0.004581,-0.005956,-6.241630,4.657460,5.670731,0.009316,0.005651,-0.005651
1766534328.062017,-6.720468,4.652678,5.789095,-0.008705,-0.007025,-0.000458,-6.484935,4.568388,5.691654,0.005803,-0.010385,0.002291,-6.490314,4.890004,5.774748,-0.009621,0.005498,-0.003512,-6.278096,4.643710,5.640841,0.009163,0.005651,-0.006414
1766534328.063070,-6.696556,4.600669,5.844093,-0.008247,-0.005651,0.000305,-6.491510,4.536107,5.696436,0.003512,-0.010385,0.002443,-6.506456,4.851745,5.786704,-0.009621,0.007636,-0.005956,-6.310377,4.652080,5.626494,0.007330,0.007025,-0.005345
1766534328.063070,-6.685795,4.632950,5.731706,-0.007330,-0.009010,-0.001374,-6.471783,4.565997,5.682687,0.002596,-0.011454,0.002138,-6.461023,4.874462,5.720946,-0.011606,0.005651,-0.005956,-6.291846,4.660449,5.637254,0.007025,0.010996,-0.006414
1766534328.063070,-6.686991,4.648493,5.792682,-0.006109,-0.005803,-0.001833,-6.417981,4.585126,5.764586,0.007483,-0.010385,0.004581,-6.472381,4.892395,5.795073,-0.011606,0.003665,-0.004581,-6.306790,4.685556,5.681492,0.004734,0.010996,-0.004734
