time,j1,j2,j3,j4,j5,j6,j7,gripper1,gripper2,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
0.0,0.00016700293,-0.785875,4.0107683e-05,-2.3551247,9.29385e-05,1.570997,0.786,0.04,0.04,-9.526514,-0.0280861649662256,0.09512133,1.17335965e-07,-0.0011641274904832,5.188524e-07
0.0025,0.0001670045005,-0.785857774,4.01080475e-05,-2.35513919,9.294275850000001e-05,1.570996565,0.786,0.04,0.04,-9.572702300000042,-0.023777230340052195,0.08221787774998826,-3.4521884750138134e-08,-0.0013254410412629318,5.557588500000336e-07
0.005,0.000167006071,-0.785840548,4.0108412e-05,-2.3551536800000004,9.294701700000002e-05,1.57099613,0.786,0.04,0.04,-9.618890600000084,-0.019468295713878793,0.06931442549997653,-1.8637973450027629e-07,-0.0014867545920426634,5.926653000000672e-07
0.0075,0.0001670076415,-0.7858233219999999,4.0108776500000004e-05,-2.3551681700000002,9.295127550000001e-05,1.570995695,0.786,0.04,0.04,-9.665078900000127,-0.015159361087705388,0.056410973249964795,-3.3823758425041435e-07,-0.0016480681428223951,6.295717500001007e-07
0.01,0.00016700921200000002,-0.785806096,4.0109141000000004e-05,-2.35518266,9.295553400000001e-05,1.5709952600000001,0.786,0.04,0.04,-9.711267200000169,-0.010850426461531983,0.04350752099995305,-4.900954340005525e-07,-0.0018093816936021268,6.664782000001343e-07
0.0125,0.0001670107825,-0.78578887,4.0109505500000005e-05,-2.3551971500000004,9.295979250000002e-05,1.570994825,0.786,0.04,0.04,-9.75745550000021,-0.006541491835358577,0.030604068749941316,-6.419532837506906e-07,-0.0019706952443818587,7.033846500001678e-07
0.015,0.00016701235300000002,-0.785771644,4.0109870000000005e-05,-2.3552116400000003,9.296405100000003e-05,1.57099439,0.786,0.04,0.04,-9.803643800000252,-0.0022325572091851757,0.017700616499929586,-7.938111335008286e-07,-0.00213200879516159,7.402911000002014e-07
0.0175,0.00016701654450000008,-0.7857548645,4.010866599999998e-05,-2.3552257350000003,9.296571124999998e-05,1.57099396,0.786,0.04,0.04,-9.834339749999998,0.0006394972006090842,0.009024384999998587,-1.1908115300056495e-06,-0.002289191621822228,7.082158249989174e-07
0.02,0.00016702597800000008,-0.7857389779999999,4.010432499999997e-05,-2.3552390400000003,9.296217499999997e-05,1.5709935400000001,0.786,0.04,0.04,-9.834050999999999,0.0006377911777234676,0.008802594999998385,-2.078097020006456e-06,-0.0024381130002449035,5.381770999987628e-07
0.0225,0.0001670354115000001,-0.7857230914999999,4.009998399999997e-05,-2.3552523450000002,9.295863874999997e-05,1.57099312,0.786,0.04,0.04,-9.833762249999998,0.0006360851548378511,0.008580804999998184,-2.9653825100072623e-06,-0.002587034378667579,3.681383749986082e-07
0.025,0.0001670448450000001,-0.7857072049999999,4.009564299999996e-05,-2.35526565,9.295510249999996e-05,1.5709927,0.786,0.04,0.04,-9.833473499999998,0.0006343791319522345,0.008359014999997982,-3.85266800000807e-06,-0.0027359557570902546,1.9809964999845338e-07
0.0275,0.0001670542785000001,-0.7856913184999998,4.009130199999996e-05,-2.355278955,9.295156624999996e-05,1.57099228,0.786,0.04,0.04,-9.833184749999997,0.000632673109066618,0.008137224999997781,-4.739953490008877e-06,-0.00288487713551293,2.8060924998298756e-08
0.03,0.00016706371200000012,-0.7856754319999998,4.008696099999995e-05,-2.35529226,9.294802999999995e-05,1.57099186,0.786,0.04,0.04,-9.832895999999996,0.0006309670861810014,0.00791543499999758,-5.627238980009683e-06,-0.0030337985139356053,-1.4197780000185576e-07
0.0325,0.00016707314550000013,-0.7856595454999998,4.008261999999995e-05,-2.355305565,9.294449374999995e-05,1.57099144,0.786,0.04,0.04,-9.832607249999997,0.0006292610632953849,0.007693644999997378,-6.514524470010491e-06,-0.003182719892358281,-3.120165250020106e-07
0.035,0.00016709643200000038,-0.7856445099999998,4.007008049999979e-05,-2.3553181,9.29277189999997e-05,1.57099101,0.786,0.04,0.04,-9.832340299999997,0.0006277612235862422,0.007490987859997541,-8.348544970029382e-06,-0.0033245154190825904,-7.434607500071586e-07
