time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765410641.103319,3.596365,-0.034672,0.022119,-0.005040,-2.217135,0.492968
1765410641.103519,-8.953251,1.905787,-3.808584,-0.007483,-0.007483,-0.003207
1765410641.103719,-8.710545,1.875896,-4.021998,-0.006414,-0.004429,-0.001527
1765410641.103919,-8.744618,1.821497,-3.905427,-0.006720,-0.006872,-0.001069
1765410641.104119,-9.021400,1.880679,-3.572453,-0.007636,-0.008247,-0.003207
1765410641.103763,-9.032759,1.927307,-3.677068,-0.009468,-0.008247,-0.004276
1765410641.104013,-8.808583,1.894428,-3.961023,-0.009468,-0.004276,-0.004276
1765410641.104263,-8.712338,1.848398,-4.016020,-0.006414,-0.003360,-0.002749
1765410641.104513,-8.937110,1.808943,-3.715327,-0.010690,-0.009316,-0.000916
1765410641.104740,-9.103298,1.816117,-3.591583,-0.008399,-0.004734,-0.001527
1765410641.104990,-8.931132,1.831061,-3.872548,-0.008247,-0.004734,-0.003054
1765410641.105240,-8.931132,1.831061,-3.872548,-0.008247,-0.005040,-0.003054
1765410641.105490,-8.938904,1.806552,-3.757771,-0.008399,-0.010232,-0.001985
1765410641.105715,-9.126613,1.780248,-3.598158,-0.007636,-0.009010,-0.002902
1765410641.105915,-9.019607,1.779053,-3.791846,-0.010079,-0.002443,-0.001985
1765410641.106115,-8.805594,1.778455,-4.051888,-0.005498,-0.001069,-0.001069
1765410641.106315,-8.764944,1.759923,-4.057866,-0.004887,-0.003971,-0.000305
1765410641.106515,-9.023193,1.746772,-3.748804,-0.003512,-0.008399,-0.002596
1765410641.106703,-9.065040,1.758728,-3.720707,-0.003054,-0.008858,-0.006567
1765410641.106953,-8.757771,1.366571,-3.715925,-0.013439,-0.009774,-0.001222
1765410641.107203,-8.697392,1.635581,-3.736848,-0.010690,-0.002291,-0.013897
1765410641.107453,-8.519846,1.932687,-3.799617,-0.010843,-0.012828,-0.007178
1765410641.107711,-8.544953,2.052845,-3.802008,-0.012981,-0.012828,-0.002443
1765410641.107961,-8.544953,2.052845,-3.802008,-0.012981,-0.002138,-0.002443
1765410641.108211,-8.642992,1.658297,-3.628048,-0.015577,-0.001374,0.006261
1765410641.108461,-8.478598,1.602104,-4.038737,-0.018784,-0.001374,0.001069
1765410641.108755,-8.693806,1.713295,-3.825920,-0.014813,-0.001222,0.005651
1765410641.108955,-8.905427,1.521999,-3.608321,-0.010690,0.003360,0.006567
1765410641.109155,-9.021997,1.397656,-3.504902,-0.010996,0.001833,0.005040
1765410641.109355,-8.957436,1.476566,-3.630440,-0.010079,0.009774,0.000764
1765410641.109555,-8.927546,1.394070,-3.582615,-0.007483,0.009621,0.003971
1765410641.109752,-8.927546,1.394070,-3.582615,-0.007483,0.004734,0.003971
1765410641.110002,-9.461978,1.311573,-2.951936,0.001985,0.004276,0.006414
1765410641.110252,-9.329267,1.379125,-3.316595,0.006567,-0.000458,0.003360
1765410641.110502,-9.352582,1.475968,-3.226327,0.014050,-0.006872,0.005040
1765410641.110808,-9.485293,1.377331,-2.873027,0.026878,-0.013134,0.014050
1765410641.111008,-9.485293,1.377331,-2.873027,0.026878,-0.021380,0.014050
1765410641.111208,-9.475728,1.420373,-3.054758,0.037721,-0.038332,0.018326
1765410641.111408,-9.410568,1.610473,-3.216164,0.052229,-0.038332,0.025198
1765410641.111608,-9.524150,1.467001,-2.949545,0.069333,-0.049786,0.034972
1765410641.111735,-9.558823,1.321138,-2.873027,0.085521,-0.054978,0.039401
1765410641.111985,-9.483500,1.360593,-3.049976,0.100793,-0.055741,0.037415
1765410641.112235,-9.113461,1.395863,-3.490555,0.115912,-0.056658,0.041692
1765410641.112485,-9.139167,1.242229,-3.466642,0.129351,-0.071624,0.048258
