time,j1,j2,j3,j4,j5,j6,j7,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_x,quat_y,quat_z,quat_w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09799836667483332,9.79951000408332,9.8,0.01999866669333308,0.9998000066665778,0.0,0.0,0.0,0.0,1.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1959869335946642,9.798040065332463,9.8,0.03998933418663416,0.9992001066609779,0.0,0.0,0.0,0.0,1.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2939559019844575,9.795590330740078,9.8,0.059964006479444595,0.9982005399352042,0.0,0.0,0.0,0.0,1.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3918954750290148,9.792161045277584,9.8,0.0799146939691727,0.9968017063026194,0.0,0.0,0.0,0.0,1.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4897958588526477,9.78775255187067,9.8,0.09983341664682815,0.9950041652780258,0.0,0.0,0.0,0.0,1.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5876472634985571,9.782365291365002,9.8,0.11971220728891936,0.9928086358538663,0.0,0.0,0.0,0.0,1.0
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6854399039078212,9.77599980248214,9.8,0.1395431146442365,0.9902159962126371,0.0,0.0,0.0,0.0,1.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7831640008978925,9.768656721765671,9.8,0.15931820661424598,0.9872272833756269,0.0,0.0,0.0,0.0,1.0
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8808097821405083,9.760336783517545,9.8,0.17902957342582418,0.9838436927881214,0.0,0.0,0.0,0.0,1.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978367483138916,9.751040819724654,9.8,0.19866933079506122,0.9800665778412416,0.0,0.0,0.0,0.0,1.0
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0758273482043132,9.74076975997563,9.8,0.21822962308086932,0.9758974493306055,0.0,0.0,0.0,0.0,1.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1731796314314098,9.72952463136789,9.8,0.23770262642713458,0.9713379748520297,0.0,0.0,0.0,0.0,1.0
0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2704145976730097,9.717306558404925,9.8,0.2570805518921551,0.9663899781345132,0.0,0.0,0.0,0.0,1.0
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3675225235135178,9.704116762883844,9.8,0.27635564856411376,0.9610554383107709,0.0,0.0,0.0,0.0,1.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4644936982412724,9.689956563773215,9.8,0.29552020666133955,0.955336489125606,0.0,0.0,0.0,0.0,1.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5613184248196106,9.674827377081145,9.8,0.31456656061611776,0.9492354180824408,0.0,0.0,0.0,0.0,1.0
0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6579870208565612,9.658730715713697,9.8,0.3334870921408144,0.9427546655283462,0.0,0.0,0.0,0.0,1.0
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7544898195730771,9.64166818932359,9.8,0.35227423327508994,0.9358968236779348,0.0,0.0,0.0,0.0,1.0
0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8508171707697059,9.62364150414925,9.8,0.3709204694129827,0.9286646355765102,0.0,0.0,0.0,0.0,1.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9469594417916,9.604652462844168,9.8,0.3894183423086505,0.9210609940028851,0.0,0.0,0.0,0.0,1.0
0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0429070184917757,9.584702964296653,9.8,0.40776045305957015,0.9130889403123083,0.0,0.0,0.0,0.0,1.0
0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1386503061925195,9.563795003439935,9.8,0.4259394650659996,0.9047516632199634,0.0,0.0,0.0,0.0,1.0
0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2341797306448465,9.541930671052675,9.8,0.4439481069655198,0.8960524975255252,0.0,0.0,0.0,0.0,1.0
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.329485738985919,9.51911215354989,9.8,0.4617791755414829,0.8869949227792842,0.0,0.0,0.0,0.0,1.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424558800694325,9.495341732764318,9.8,0.479425538604203,0.8775825618903728,0.0,0.0,0.0,0.0,1.0
