time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
0.0,6.875896,5.561931,-4.236011,-0.007789,-0.00504,0.000305
0.0025,-7.994119098688915,6.10056363556615,-4.219988228843862,-0.018168861644815258,-0.013662577258641243,0.006258502693682957
0.005,-7.784417269857006,6.88417723336511,-4.490294884766444,-0.10877835740705434,-0.12989384678741658,0.010063483126787417
0.0075,-6.1539219966412215,6.3600273486259535,-4.216729183816794,-0.23438253007633586,-0.2020230196946565,-0.03596639671755724
0.01,-5.775680106943451,6.596749794588403,-4.588228716964925,-0.34304510090193274,-0.19612496183249822,-0.12500970780243378
0.0125,-5.589143087511917,6.714185191229742,-4.420853428408004,-0.4585771134413728,-0.14798248160152522,-0.24928583660629172
0.015,-5.857368631324266,6.742642297723693,-4.3416075139584835,-0.577731764781675,-0.11221405932712956,-0.36254980163206874
0.0175,-5.854186618072805,6.3960721634261235,-4.457306518029979,-0.6827876020556747,-0.09088707032119922,-0.46085534629550323
0.02,-6.295358483865426,5.6528674168933435,-3.803932285841087,-0.7430242618754473,-0.07548379015032214,-0.5705040768790265
0.0225,-6.847338971771429,6.522721143085714,-3.5510835685142856,-0.8026865500571428,-0.055253433657142914,-0.6551240669142857
0.025,-6.97629706882746,5.577731279122972,-3.516882693231644,-0.8622656516682555,-0.047579451858913234,-0.7224709311725453
0.0275,-7.505977,4.776422,-3.518651,-0.856128,-0.062341809421841546,-0.771981
0.03,-7.463904067687902,5.274188421360057,-2.989729048790264,-0.8914780925697924,-0.04801460438081604,-0.8630934270007158
0.0325,-8.56554938432548,4.592402493104925,-1.9545238406852237,-0.9055295531477517,-0.04755871366167017,-0.8890182039400428
0.035,-7.958074750493913,5.144007964552613,-3.03101315977094,-0.8540386236506802,-0.09538082027201158,-0.9513269449105226
0.0375,-8.080073027266241,5.196596078800855,-2.796611731049249,-0.8795568678087081,-0.07510542598144189,-0.9803361547466095
0.04,-7.896919037193986,4.466910900214745,-2.684615438940589,-0.8777098525697925,-0.10087457125268437,-1.0366921534430924
0.0425,-7.930901040495713,4.384477644080078,-3.1143283522592946,-0.8859423633174454,-0.12744458093422326,-1.0797898592945665
0.045,-8.011224956993557,4.668935207244094,-2.505657304280604,-0.922865,-0.14153589941302797,-1.140638
0.0475,-8.27572767977121,3.699142191382269,-2.296579665471879,-0.910992713593899,-0.140041,-1.1492017366253575
0.05,-8.441416558099062,3.8871432168674724,-1.8947983236947772,-0.8939486431057562,-0.15461612704149935,-1.178715833601071
0.0525,-9.262302124885501,4.221877403664123,-1.894496250381677,-0.9225874821374046,-0.1670320175572519,-1.2295213752671756
0.055,-9.080708954154728,3.000712563209169,-1.5138206163896855,-0.9104386694555874,-0.1804110371346705,-1.2285964521489972
0.0575,-9.080141661070666,4.247075492248396,-2.35572825858673,-0.9232977791862956,-0.211818,-1.2557970177301927
0.06,-9.79589522440419,3.333662975328887,-0.5356121444041919,-0.9500726922402287,-0.21651804766444238,-1.2463636780171592
0.0625,-8.314343711832061,3.305642302480916,-2.2614392977099236,-0.9561727824427481,-0.2397112538167939,-1.262534558206107
0.065,-9.52636897348604,2.5944652318682935,-1.4952094661131017,-0.9415255857981389,-0.22199548506800276,-1.2598848940586973
0.0675,-9.20051925721627,3.1629680044825106,-1.2764939484368298,-0.945467,-0.2349535732191294,-1.229825
0.07,-9.92158487175572,2.2443054809160183,-1.1436922885496448,-0.9584852516030539,-0.22890400366412247,-1.203790250687023
0.0725,-9.939621,2.9429200992148417,-1.4285494191006374,-0.9579212599000714,-0.22794792973590286,-1.1802218806281228
0.075,-10.159154743374646,2.9114748129647214,-1.318136928122021,-0.9860011502383222,-0.25954769075309836,-1.146641927931363
0.0775,-9.980525154656487,2.359007056374047,-1.212897125534353,-0.9838246290839695,-0.24911673202290077,-1.0938028372137405
0.08,-9.488525458338112,1.551516459828079,-1.3648312856160443,-0.9649069920916904,-0.2569420577650431,-1.0398360295702005
0.0825,-9.652551796802289,2.544222671234832,-0.7780310809707269,-1.0105266098786583,-0.247859,-1.016901803369022
0.085,-10.224573057093766,2.123285866513967,-0.25429056764496233,-0.9893807508947748,-0.23953207782390853,-0.9550223421617748
0.08750000000000001,-10.03876317416132,1.905580466952192,-0.5741676461099137,-0.9899948362598147,-0.264505,-0.9173016937901499
0.09,-10.433303882326015,1.9726838353479434,-0.5703602950619742,-1.0403363404003814,-0.2454469649189705,-0.855134595042898
0.0925,-9.817280175960027,0.9813899005852953,-0.7835162322912208,-0.9949225422412563,-0.2765206629835831,-0.7795185907494647
0.095,-10.020604501086748,1.1445014917063885,-0.7217969797140165,-1.000239001182078,-0.26340066467111534,-0.723956442821735
0.0975,-9.295562719161111,1.5104235983222154,-1.0890736531935103,-1.0299215423832222,-0.2838262358436607,-0.6771528533079121
0.1,-9.639516251858922,0.27367262936128844,-0.462911546615819,-0.962614856053384,-0.2674126892278358,-0.6167510192564345
0.10250000000000001,-9.754695223468941,-0.36948996573877285,-0.33503947974303544,-0.9481601505781585,-0.2625005877516063,-0.5362716023126338
0.105,-10.278059676793129,-0.5233225639226824,-0.04917209274159004,-0.8994973644667148,-0.28231690966356504,-0.43795902817466037
0.1075,-10.095975569532886,-1.230395295710204,0.04259491508102514,-0.7465271609151574,-0.27663423264061016,-0.40234355431839847
0.11,-9.671014522347887,-1.9939599464566928,-0.22809850720114644,-0.6201090891911238,-0.277638,-0.2829894003722262
0.1125,-9.547196074660947,-1.7947176049964308,-0.3544107159172146,-0.48795790606709477,-0.2601342115631691,-0.20940055917201997
0.115,-9.901303912498213,-1.287658397938446,0.4476732301503256,-0.3172357211453113,-0.267254,-0.13245619541875428
0.11750000000000001,-9.889399775481401,-0.9776743073021894,0.39041121151571084,-0.20289724579599602,-0.2482018809914204,-0.08441853746425161
0.12,-9.278264698265017,-1.0737947268255503,-0.1375592856053287,-0.10044165212583415,-0.2088542953288846,-0.036895295328884595
0.1225,-7.7160982858341285,-0.5260537563775026,-0.4014078984556719,-0.01897059042898005,-0.11304359042898005,0.0018790067111534563
0.125,-10.208616458233891,-0.4518294200477327,1.0824173341288783,-0.0016041718377088306,-0.003104653937947494,0.009765821002386635
0.1275,-9.718912884624553,0.16500251947556543,-0.051302497735400604,0.001985,0.014661,0.0015479729678188048
0.13,-10.147917138082672,-0.1562487932453855,0.3549119891996472,-0.01827163616534742,0.000737888513632331,-0.0014907376605101243
0.1325,-9.89359,-0.127929,0.23374,-0.009927,-0.012163468557806827,-0.002443
0.135,-10.039033629656487,-0.10769187190840039,0.40920679057251946,-0.009562305229007627,-0.011806903854961795,0.0008702149999999674
0.1375,-9.865591652205008,0.007818388557808868,0.4190385620977384,-0.004383282240762754,-0.01046216519666248,0.0016498829558997284
0.14,-9.976685,0.013719642336114302,0.3760821279618556,-0.009888395756853244,-0.004520643146602854,0.0013518974970201706
0.14250000000000002,-10.085480912991647,-0.07009438970202826,0.38799036648390434,-0.007050224028605495,-0.005651,-0.003591313468414673
0.145,-9.908314361718379,-0.0856740137470173,0.31158608591885817,-0.009415080954654082,-0.007993360572792287,-0.0029004415274463697
0.1475,-9.870734613587604,-0.001138877663884555,0.3569242729439801,-0.006261,-0.007828691823599434,0.0015960125864122648
0.15,-9.919893,-0.045433,0.28814,-0.004887,-0.00572530297973774,0.000458
0.1525,-9.961179812109654,-0.02559038769964276,0.36148714488677014,-0.00798648147794993,-0.005783263885578125,-0.00018811342073899286
0.155,-9.858428214684148,-0.01209699294398083,0.2942579929439808,-0.008068083194278914,-0.007578943313468419,0.0006032022884386157
0.1575,-9.97376534908224,-0.024432017067937732,0.36858793492252667,-0.009733311847437425,-0.005252395566150171,-0.000978137020262222
0.16,-9.532388887938932,-0.33272302870229026,-0.33354118259541776,-0.012104247328244128,-0.010843,-0.0012279096183206494
0.1625,-9.792355483194278,-0.05230576328962491,0.17385316734207287,-0.007888501311084498,0.0033565821215733186,-0.002754788319428064
0.165,-9.9725,-0.2445,0.413678,-0.007789,0.007027104028605281,-0.007178
0.1675,-10.016762573825982,-0.015694223170440703,0.40317084238378403,-0.009528436901072827,0.0031810437187126234,-0.002755003909416139
0.17,-10.0250099720143,-0.11871230946365428,0.3027882447198947,-0.012801575446960957,-0.0025245877949943386,-0.0006231033611444057
0.17250000000000001,-9.908590905360628,0.03846851062559844,0.19738641759326436,-0.00747951768892289,-0.006017480436196701,-0.0027993626707480375
0.17500000000000002,-9.922280317821782,0.05834478907697224,0.22846682226125892,-0.007070919546470775,-0.006872,0.00013657326732675543
0.1775,-10.012116698595504,0.0009466566011239186,0.4055683769382014,-0.008828776376404484,-0.006390940477528093,0.0008937278089887668
0.18,-9.96122742643853,-0.0810357497718629,0.3903540437579216,-0.009630502040557667,-0.003849359898605838,0.0016024432129277538
0.1825,-9.88885830444925,-0.11150384363053753,0.2429749461507654,-0.008575463616117924,-0.0037074105871985875,0.0008665055483457534
0.185,-9.92362773301215,-0.025672609049015537,0.29163845311269365,-0.006891519518223712,-0.009394191658986178,-0.0018847565772936751
0.1875,-9.955141021994136,0.013061445747800576,0.36845092815249264,-0.006975532991202346,-0.005788201612903226,-0.0007947778592375366
0.19,-9.973696,0.03139925455851392,0.3823957139814241,-0.007269555551702787,-0.005296260284829725,0.0004995041139318899
0.1925,-9.890778755378268,0.030263062269601106,0.2615810823521318,-0.007012177015130672,-0.007307950797799176,0.002598596767537831
