time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765408583.471269,6.875896,5.561931,-4.236011,-0.007789,-0.005040,0.000305
1765408583.471519,-6.860353,5.566116,-4.185796,-0.007025,-0.008858,-0.000764
1765408583.471769,-6.960186,5.587039,-4.041726,-0.007025,-0.010537,-0.000764
1765408583.472019,-7.120994,5.564322,-3.905427,-0.005040,-0.006109,-0.001222
1765408583.472161,-7.046866,5.551171,-3.951458,-0.009010,-0.006109,-0.000916
1765408583.472411,-7.046866,5.551171,-3.951458,-0.009010,-0.003512,-0.000916
1765408583.472661,-6.926709,5.603777,-4.268292,-0.008247,-0.007025,-0.003054
1765408583.472911,-7.185556,5.718555,-4.206121,-0.009774,-0.007483,0.000000
1765408583.473219,-7.510759,5.836919,-4.062649,-0.009927,-0.005192,0.003818
1765408583.473419,-7.659014,5.927187,-4.179220,-0.012217,-0.005192,0.003054
1765408583.473619,-7.659014,5.927187,-4.179220,-0.012217,-0.007025,0.003054
1765408583.473819,-8.106169,6.158536,-4.233620,-0.020159,-0.015882,0.007330
1765408583.474019,-8.444524,6.327116,-4.135581,-0.026878,-0.027794,0.002291
1765408583.474188,-8.364418,6.532161,-4.507412,-0.033598,-0.034819,0.005040
1765408583.474438,-8.489956,6.634983,-4.392634,-0.041844,-0.047495,0.007789
1765408583.474688,-8.536585,6.818507,-4.309540,-0.050855,-0.057116,0.014508
1765408583.474938,-8.466641,6.810138,-4.151721,-0.058948,-0.088270,0.018937
1765408583.475204,-8.307029,6.690578,-4.191773,-0.073609,-0.088270,0.015730
1765408583.475537,-8.198827,6.639764,-4.285031,-0.079412,-0.104916,0.017715
1765408583.475871,-7.748086,6.490314,-4.851745,-0.093004,-0.118355,0.020159
1765408583.476254,-7.789334,6.874700,-4.508608,-0.108123,-0.130267,0.009927
1765408583.476504,-7.706838,7.033715,-4.201339,-0.119119,-0.124006,0.012217
1765408583.476754,-7.825202,6.859157,-3.744619,-0.134849,-0.133169,0.024893
1765408583.477004,-7.825202,6.859157,-3.744619,-0.134849,-0.149509,0.024893
1765408583.477226,-7.502390,6.701338,-4.156504,-0.168752,-0.164170,0.004276
1765408583.477476,-7.126972,6.869918,-3.963414,-0.182649,-0.161879,0.004429
1765408583.477726,-6.779650,6.535748,-4.220468,-0.189826,-0.179594,0.009316
1765408583.477976,-6.677426,6.344451,-3.949665,-0.208458,-0.187536,-0.002902
1765408583.478186,-6.677426,6.344451,-3.949665,-0.208458,-0.194408,-0.002902
1765408583.478436,-6.616451,6.200980,-3.671688,-0.218995,-0.190895,-0.014661
1765408583.478686,-6.182448,6.331898,-4.224653,-0.228158,-0.198531,-0.031918
1765408583.478936,-6.096364,6.416785,-4.200741,-0.246942,-0.209069,-0.044135
1765408583.479146,-6.196198,6.448469,-4.440459,-0.248928,-0.209069,-0.051771
1765408583.479479,-6.134624,6.343854,-4.305954,-0.254731,-0.209374,-0.054520
1765408583.479813,-6.044356,6.435317,-4.258727,-0.271224,-0.211054,-0.077733
1765408583.480143,-6.068866,6.731228,-4.131396,-0.288023,-0.200669,-0.087354
1765408583.480393,-6.035986,6.644547,-4.227642,-0.304211,-0.199906,-0.091324
1765408583.480643,-5.954686,6.726446,-4.365136,-0.311083,-0.204487,-0.101709
1765408583.480893,-5.727522,6.696556,-4.381874,-0.331547,-0.200211,-0.112246
1765408583.481257,-5.771162,6.602103,-4.607843,-0.342695,-0.196393,-0.124769
1765408583.481590,-5.897297,6.452654,-4.060258,-0.352469,-0.188910,-0.131489
1765408583.481924,-5.692251,6.483739,-4.305356,-0.360105,-0.182191,-0.149815
1765408583.482127,-5.369440,6.455044,-4.600669,-0.373391,-0.182191,-0.164781
1765408583.482377,-5.422047,6.769487,-4.820659,-0.391259,-0.181427,-0.180816
1765408583.482627,-5.485413,6.725250,-4.539693,-0.400880,-0.168293,-0.182954
1765408583.482877,-5.885939,6.940459,-3.644189,-0.412487,-0.168293,-0.197768
1765408583.483203,-5.676709,6.462219,-4.312530,-0.437380,-0.155465,-0.209221
1765408583.483453,-5.442371,6.330702,-4.830224,-0.445321,-0.162337,-0.228464
1765408583.483703,-5.509326,6.745576,-4.736968,-0.451888,-0.150884,-0.247553
1765408583.483953,-5.811812,6.626613,-3.538976,-0.477238,-0.139888,-0.254120
1765408583.484237,-6.012074,6.783237,-3.943089,-0.496481,-0.128740,-0.274126
1765408583.484570,-5.548182,6.533954,-4.434481,-0.506865,-0.141721,-0.281456
1765408583.484904,-5.771162,6.887852,-4.554040,-0.510531,-0.132405,-0.293521
1765408583.485211,-6.166905,6.883667,-3.757771,-0.522137,-0.129809,-0.299629
1765408583.485461,-6.152558,6.549497,-3.751793,-0.548710,-0.112246,-0.313221
1765408583.485711,-5.854854,6.386298,-4.258727,-0.558178,-0.119271,-0.332769
1765408583.485961,-6.107723,6.553083,-3.708751,-0.559247,-0.112857,-0.346666
1765408583.486199,-5.822572,6.721664,-4.497250,-0.572533,-0.112246,-0.358731
1765408583.486532,-5.988163,6.821496,-3.756575,-0.597273,-0.112094,-0.376904
1765408583.486866,-6.009684,6.457436,-4.285031,-0.616974,-0.108276,-0.383013
1765408583.487149,-6.211740,6.615255,-3.756575,-0.620028,-0.108276,-0.396452
1765408583.487399,-6.110712,6.867527,-4.305356,-0.628733,-0.086896,-0.400117
1765408583.487649,-6.129841,6.240435,-3.888091,-0.658971,-0.096211,-0.408363
1765408583.487899,-6.480152,5.938546,-3.878527,-0.658513,-0.107818,-0.430202
1765408583.488164,-6.385699,6.094571,-3.924557,-0.659887,-0.078954,-0.447917
1765408583.488497,-5.872190,6.446676,-4.395026,-0.670730,-0.078954,-0.457996
1765408583.488831,-5.850071,6.384504,-4.471544,-0.685544,-0.093615,-0.461509
1765408583.489168,-6.587757,6.073648,-3.414634,-0.692416,-0.107360,-0.472962
1765408583.489418,-6.927307,6.157340,-3.265184,-0.696081,-0.082925,-0.484263
1765408583.489668,-6.470587,6.243423,-4.023792,-0.703106,-0.066584,-0.492357
1765408583.489918,-5.756217,6.104734,-4.800334,-0.722195,-0.073762,-0.506865
1765408583.490162,-6.206359,6.276303,-4.147537,-0.729831,-0.105222,-0.516028
1765408583.490412,-6.764705,6.081419,-3.455284,-0.740063,-0.091324,-0.519999
1765408583.490662,-6.672644,5.897895,-3.598158,-0.738231,-0.062003,-0.524122
1765408583.490912,-6.672644,5.897895,-3.598158,-0.738231,-0.051771,-0.524122
1765408583.491153,-6.131037,5.598995,-4.104495,-0.744034,-0.069639,-0.563065
1765408583.491486,-6.603299,5.753825,-3.240674,-0.741132,-0.086437,-0.584445
1765408583.491820,-6.991868,6.379124,-3.311214,-0.742354,-0.064446,-0.599259
1765408583.492208,-6.598516,6.340864,-4.302965,-0.765261,-0.064446,-0.606284
1765408583.492458,-6.598516,6.340864,-4.302965,-0.765261,-0.073151,-0.606284
1765408583.492708,-6.502869,6.195599,-3.730272,-0.777326,-0.072235,-0.629038
1765408583.492958,-7.163437,6.784432,-2.856289,-0.773050,-0.077580,-0.638965
1765408583.493175,-6.956001,6.551888,-3.923959,-0.803899,-0.073151,-0.637438
1765408583.493508,-7.213055,6.362983,-3.532400,-0.804357,-0.073151,-0.653931
1765408583.493842,-6.744977,6.567431,-3.556313,-0.802219,-0.050244,-0.655458
1765408583.494150,-6.857962,6.378526,-3.663319,-0.811229,-0.059712,-0.652404
1765408583.494400,-6.605690,5.536824,-4.191176,-0.828639,-0.063377,-0.670730
1765408583.494650,-7.040888,6.126853,-3.595169,-0.824821,-0.056658,-0.694706
1765408583.494900,-6.732423,6.235652,-3.599952,-0.830013,-0.056658,-0.696692
1765408583.495142,-6.520802,5.995336,-3.598756,-0.851241,-0.063988,-0.702801
1765408583.495475,-6.302008,5.768172,-4.423720,-0.854906,-0.060323,-0.713949
1765408583.495809,-6.618842,5.762195,-3.894069,-0.859335,-0.060323,-0.719599
1765408583.496173,-6.618842,5.762195,-3.894069,-0.859335,-0.048869,-0.719599
1765408583.496423,-7.550214,5.281563,-2.911286,-0.866971,-0.045509,-0.727082
1765408583.496673,-8.011118,5.333572,-2.887374,-0.865291,-0.034667,-0.737620
1765408583.496923,-7.229794,4.915112,-3.700382,-0.865291,-0.035888,-0.736856
1765408583.497171,-7.102462,4.840984,-3.195241,-0.860709,-0.056047,-0.756251
1765408583.497421,-7.102462,4.840984,-3.195241,-0.860709,-0.046273,-0.756251
1765408583.497671,-7.370874,5.035868,-3.094811,-0.864527,-0.052076,-0.757778
1765408583.497921,-7.352940,5.138091,-3.446915,-0.853226,-0.055436,-0.765261
1765408583.498202,-7.210663,5.188904,-3.738642,-0.847117,-0.060934,-0.767552
1765408583.498535,-7.505977,4.776422,-3.518651,-0.856128,-0.057421,-0.771981
1765408583.498869,-7.505977,4.776422,-3.518651,-0.856128,-0.064446,-0.771981
1765408583.499339,-7.445599,4.850550,-2.863462,-0.840092,-0.049175,-0.786794
1765408583.499589,-7.380439,4.635342,-3.334528,-0.865291,-0.056505,-0.802982
1765408583.499839,-7.526900,4.904351,-3.443926,-0.864832,-0.060781,-0.820087
1765408583.500089,-7.421089,5.033476,-3.687231,-0.863458,-0.060781,-0.827875
1765408583.500316,-7.677546,5.646221,-2.409134,-0.861931,-0.067348,-0.832304
1765408583.500566,-7.248923,5.215207,-3.407460,-0.877355,-0.044746,-0.830319
1765408583.500816,-7.165231,4.832615,-4.131994,-0.881631,-0.065363,-0.846048
1765408583.501066,-7.485651,5.301290,-3.553921,-0.879646,-0.063683,-0.866818
1765408583.501229,-7.452176,5.248086,-2.962697,-0.891405,-0.048106,-0.861778
1765408583.501562,-7.550214,5.466283,-3.188665,-0.892016,-0.047342,-0.872774
1765408583.501896,-7.305116,5.565518,-3.529412,-0.906066,-0.037110,-0.870330
1765408583.502173,-7.679339,4.732783,-3.091822,-0.906524,-0.050702,-0.863305
1765408583.502423,-7.776183,4.950980,-2.820421,-0.906524,-0.045357,-0.863305
1765408583.502673,-7.536465,4.937828,-2.915471,-0.915229,-0.047647,-0.885296
1765408583.502923,-7.953131,5.077116,-2.764227,-0.918283,-0.053145,-0.886824
1765408583.503303,-8.503705,4.446436,-2.807269,-0.908357,-0.050702,-0.874912
1765408583.503636,-8.572453,4.694524,-2.077355,-0.895070,-0.054978,-0.888045
1765408583.503970,-8.555116,4.438067,-1.768890,-0.921337,-0.036346,-0.890489
1765408583.504188,-8.145025,4.100908,-2.549617,-0.910037,-0.063225,-0.894154
1765408583.504438,-8.151602,3.756575,-2.977044,-0.899194,-0.075900,-0.906524
1765408583.504688,-8.224533,4.243185,-2.375657,-0.890642,-0.080940,-0.918436
1765408583.504938,-8.749999,4.487087,-2.086322,-0.894001,-0.062003,-0.918589
1765408583.505200,-8.181491,4.387852,-2.886178,-0.876133,-0.085827,-0.913702
1765408583.505450,-7.880200,4.136178,-2.803682,-0.865901,-0.088575,-0.918283
1765408583.505700,-8.206598,3.883309,-2.840746,-0.855822,-0.087354,-0.925766
1765408583.505950,-8.315398,4.326877,-2.161645,-0.846812,-0.080023,-0.941954
1765408583.506227,-7.981825,5.141678,-3.002152,-0.852157,-0.093768,-0.951423
1765408583.506560,-7.792921,5.160210,-3.231707,-0.867123,-0.106596,-0.950659
1765408583.506894,-7.525106,4.821855,-3.087039,-0.852310,-0.094226,-0.934013
1765408583.507153,-7.807268,4.838593,-3.422405,-0.852310,-0.096364,-0.934013
1765408583.507403,-7.725369,5.494380,-2.919655,-0.872468,-0.089339,-0.964862
