time,j1,j2,j3,j4,j5,j6,j7,gripper1,gripper2,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
0.0,0.00016700293,-0.785875,4.0107683e-05,-2.3551247,9.29385e-05,1.570997,0.786,0.04,0.04,-9.49422,0.0220280475914478,0.1125201,-4.6179696e-07,-0.0011641274904832,2.489617e-07
0.0025,0.000167004076,-0.785857774,4.01090075e-05,-2.35513919,9.294495540000001e-05,1.570996565,0.786,0.04,0.04,-9.545261100000047,0.01881932249234228,0.09700355864998589,-5.034494160000379e-07,-0.0013252443110105766,4.1405074000015015e-07
0.005,0.000167005222,-0.785840548,4.0110332e-05,-2.3551536800000004,9.295141080000001e-05,1.57099613,0.786,0.04,0.04,-9.596302200000093,0.015610597393236763,0.08148701729997178,-5.451018720000758e-07,-0.0014863611315379531,5.791397800003003e-07
0.0075,0.000167006368,-0.7858233219999999,4.01116565e-05,-2.3551681700000002,9.295786620000002e-05,1.570995695,0.786,0.04,0.04,-9.64734330000014,0.012401872294131247,0.06597047594995767,-5.867543280001137e-07,-0.0016474779520653296,7.442288200004504e-07
0.01,0.000167007514,-0.785806096,4.0112981e-05,-2.35518266,9.296432160000002e-05,1.5709952600000001,0.786,0.04,0.04,-9.698384400000185,0.009193147195025727,0.05045393459994355,-6.284067840001515e-07,-0.0018085947725927061,9.093178600006007e-07
0.0125,0.00016700866,-0.78578887,4.01143055e-05,-2.3551971500000004,9.297077700000003e-05,1.570994825,0.786,0.04,0.04,-9.749425500000232,0.005984422095920209,0.034937393249929435,-6.700592400001894e-07,-0.0019697115931200824,1.0744069000007508e-06
0.015,0.000167009806,-0.785771644,4.011563e-05,-2.3552116400000003,9.297723240000003e-05,1.57099439,0.786,0.04,0.04,-9.800466600000277,0.0027756969968146944,0.01942085189991534,-7.117116960002272e-07,-0.002130828413647459,1.2394959400009009e-06
0.0175,0.00016701259200000004,-0.7857548619999999,4.0117583350000015e-05,-2.3552257350000003,9.298613295000008e-05,1.57099396,0.786,0.04,0.04,-9.834386449999997,0.0006401706457836542,0.009006097914998656,-9.526728850040722e-07,-0.002287727443036545,1.4943741050027662e-06
0.02,0.00016701865800000003,-0.7857389679999999,4.012079440000002e-05,-2.3552390400000003,9.29999238000001e-05,1.5709935400000001,0.786,0.04,0.04,-9.834063799999997,0.0006510417908430191,0.008794918659998464,-1.5922515400046536e-06,-0.00243619089014928,1.928830520003161e-06
0.0225,0.00016702472400000005,-0.7857230739999999,4.012400545000003e-05,-2.3552523450000002,9.30137146500001e-05,1.57099312,0.786,0.04,0.04,-9.833741149999996,0.000661912935902384,0.008583739404998273,-2.2318301950052354e-06,-0.0025846543372620152,2.3632869350035563e-06
0.025,0.00016703079000000005,-0.7857071799999998,4.0127216500000027e-05,-2.35526565,9.302750550000012e-05,1.5709927,0.786,0.04,0.04,-9.833418499999997,0.0006727840809617489,0.00837256014999808,-2.8714088500058173e-06,-0.0027331177843747502,2.7977433500039517e-06
0.0275,0.00016703685600000007,-0.7856912859999998,4.013042755000003e-05,-2.355278955,9.304129635000013e-05,1.57099228,0.786,0.04,0.04,-9.833095849999996,0.0006836552260211137,0.008161380894997888,-3.510987505006399e-06,-0.0028815812314874852,3.232199765004346e-06
0.03,0.00016704292200000006,-0.7856753919999998,4.013363860000004e-05,-2.35529226,9.305508720000015e-05,1.57099186,0.786,0.04,0.04,-9.832773199999997,0.0006945263710804786,0.007950201639997696,-4.15056616000698e-06,-0.0030300446786002203,3.6666561800047415e-06
0.0325,0.00016704898800000008,-0.7856594979999998,4.013684965000004e-05,-2.355305565,9.306887805000015e-05,1.57099144,0.786,0.04,0.04,-9.832450549999995,0.0007053975161398435,0.007739022384997503,-4.790144815007563e-06,-0.0031785081257129557,4.101112595005137e-06
0.035,0.00016706389600000025,-0.7856444399999998,4.014350000000011e-05,-2.3553181,9.309610150000043e-05,1.57099101,0.786,0.04,0.04,-9.832174699999996,0.0007213975652122663,0.007537547139997497,-6.099045930020929e-06,-0.0033192893723043037,4.934522660013153e-06
0.0375,0.00016708322500000027,-0.7856297999999998,4.015187000000012e-05,-2.35533025,9.313004125000046e-05,1.570990575,0.786,0.04,0.04,-9.831922249999996,0.0007399620662910782,0.007340923899997318,-7.74260827502242e-06,-0.003456229518635168,5.96740955001409e-06
0.04,0.00016710255400000028,-0.7856151599999998,4.016024000000013e-05,-2.3553424,9.316398100000049e-05,1.57099014,0.786,0.04,0.04,-9.831669799999997,0.0007585265673698901,0.007144300659997139,-9.386170620023917e-06,-0.0035931696649660325,7.000296440015031e-06
0.0425,0.0001671218830000003,-0.7856005199999998,4.016861000000013e-05,-2.35535455,9.319792075000052e-05,1.5709897050000001,0.786,0.04,0.04,-9.831417349999995,0.000777091068448702,0.00694767741999696,-1.1029732965025414e-05,-0.0037301098112968974,8.03318333001597e-06
0.045,0.00016714121200000034,-0.7855858799999997,4.017698000000014e-05,-2.3553667000000003,9.323186050000055e-05,1.57098927,0.786,0.04,0.04,-9.831164899999996,0.000795655569527514,0.006751054179996781,-1.2673295310026906e-05,-0.0038670499576277614,9.066070220016909e-06
0.0475,0.00016716054100000035,-0.7855712399999998,4.018535000000015e-05,-2.35537885,9.326580025000058e-05,1.570988835,0.786,0.04,0.04,-9.830912449999996,0.0008142200706063258,0.006554430939996602,-1.43168576550284e-05,-0.004003990103958626,1.0098957110017849e-05
0.05,0.00016717987000000083,-0.7855565999999998,4.0193720000000335e-05,-2.355391,9.329974000000138e-05,1.5709884,0.786,0.04,0.04,-9.830659999999995,0.0008327845716853184,0.006357807699997218,-1.5960420000058386e-05,-0.004140930250289291,1.1131844000038561e-05
0.0525,0.00016722452350000086,-0.7855430924999998,4.021193720000035e-05,-2.3554021300000003,9.337553050000145e-05,1.57098798,0.786,0.04,0.0399999985,-9.830367499999994,0.0008612811390780692,0.006204881244997079,-1.91700652500613e-05,-0.00426689733285692,1.3251646700040486e-05
0.055,0.0001672691770000009,-0.7855295849999998,4.0230154400000366e-05,-2.35541326,9.345132100000152e-05,1.57098756,0.786,0.04,0.039999997,-9.830074999999994,0.0008897777064708202,0.00605195478999694,-2.2379710500064223e-05,-0.0043928644154245505,1.5371449400042413e-05
0.0575,0.00016731383050000095,-0.7855160774999997,4.024837160000038e-05,-2.35542439,9.352711150000159e-05,1.57098714,0.786,0.04,0.0399999955,-9.829782499999993,0.0009182742738635711,0.005899028334996801,-2.5589355750067143e-05,-0.00451883149799218,1.7491252100044344e-05
0.06,0.00016735848400000099,-0.7855025699999997,4.02665888000004e-05,-2.3554355200000003,9.360290200000166e-05,1.57098672,0.786,0.04,0.039999994,-9.829489999999993,0.000946770841256322,0.005746101879996662,-2.8799001000070056e-05,-0.004644798580559809,1.9611054800046268e-05
0.0625,0.00016740313750000102,-0.7854890624999997,4.0284806000000414e-05,-2.35544665,9.367869250000173e-05,1.5709863,0.786,0.04,0.0399999925,-9.829197499999992,0.000975267408649073,0.005593175424996523,-3.200864625007298e-05,-0.004770765663127439,2.17308575000482e-05
0.065,0.00016744779100000105,-0.7854755549999997,4.030302320000043e-05,-2.35545778,9.37544830000018e-05,1.57098588,0.786,0.04,0.039999991,-9.828904999999992,0.001003763976041824,0.0054402489699963835,-3.52182915000759e-05,-0.004896732745695069,2.385066020005013e-05
0.0675,0.0001675060450000025,-0.7854623804999996,4.0326543600001e-05,-2.35546854,9.385033650000396e-05,1.570985615,0.786,0.04,0.03999999025,-9.828635699999992,0.0010335721657620139,0.005289171884995711,-3.9059251750148546e-05,-0.005019507394175598,2.6216524900083184e-05
0.07,0.00016759150000000372,-0.7854498719999994,4.036067040000149e-05,-2.3554785600000003,9.398631600000594e-05,1.57098566,0.786,0.04,0.039999991,-9.82841279999999,0.001066003600136796,0.005141793539993566,-4.4162842000222815e-05,-0.0051358971744826214,2.9074513600124774e-05
0.0725,0.00016767695500000498,-0.7854373634999993,4.039479720000199e-05,-2.3554885800000007,9.412229550000792e-05,1.570985705,0.786,0.04,0.03999999175,-9.828189899999986,0.0010984350345115777,0.004994415194991422,-4.926643225029706e-05,-0.005252286954789645,3.193250230016635e-05
0.075,0.0001677624100000062,-0.785424854999999,4.042892400000248e-05,-2.3554986000000007,9.42582750000099e-05,1.57098575,0.786,0.04,0.039999992500000005,-9.827966999999983,0.0011308664688863598,0.004847036849989277,-5.437002250037133e-05,-0.005368676735096669,3.479049100020794e-05
0.0775,0.00016784786500000746,-0.7854123464999989,4.046305080000298e-05,-2.355508620000001,9.439425450001188e-05,1.570985795,0.786,0.04,0.039999993250000004,-9.827744099999979,0.0011632979032611416,0.004699658504987133,-5.94736127504456e-05,-0.005485066515403692,3.764847970024953e-05
0.08,0.0001679333200000087,-0.7853998379999987,4.049717760000348e-05,-2.355518640000001,9.453023400001386e-05,1.5709858399999999,0.786,0.04,0.039999994000000004,-9.827521199999977,0.0011957293376359235,0.004552280159984988,-6.457720300051988e-05,-0.005601456295710716,4.050646840029112e-05
0.0825,0.00016801877500000994,-0.7853873294999986,4.053130440000397e-05,-2.3555286600000014,9.466621350001583e-05,1.570985885,0.786,0.04,0.039999994750000004,-9.827298299999974,0.0012281607720107056,0.004404901814982843,-6.968079325059414e-05,-0.00571784607601774,4.336445710033271e-05
0.085,0.00016814372400001632,-0.7853754299999987,4.058081070000645e-05,-2.355538360000001,9.486194900002545e-05,1.57098596,0.786,0.04,0.039999995,-9.827033049999967,0.0012660260079474068,0.004271002109985659,-7.635886650084193e-05,-0.005826231837284392,4.7172222000482994e-05
0.08750000000000001,0.00016828842000001448,-0.7853638349999988,4.063800675000572e-05,-2.3555479000000012,9.508756250002257e-05,1.57098605,0.786,0.04,0.039999995,-9.82674662499997,0.0013066081446635853,0.004143841724987278,-8.382418125074689e-05,-0.005930615589033044,5.145487500042847e-05
0.09,0.00016843311600001263,-0.7853522399999989,4.0695202800004995e-05,-2.355557440000001,9.531317600001971e-05,1.57098614,0.786,0.04,0.039999995,-9.826460199999975,0.0013471902813797633,0.0040166813399888975,-9.128949600065179e-05,-0.006034999340781694,5.573752800037392e-05
0.0925,0.0001685778120000108,-0.7853406449999991,4.0752398850004265e-05,-2.3555669800000008,9.553878950001683e-05,1.57098623,0.786,0.04,0.039999995,-9.826173774999978,0.0013877724180959416,0.0038895209549905164,-9.875481075055675e-05,-0.0061393830925303445,6.00201810003194e-05
0.095,0.00016872250800000895,-0.7853290499999993,4.0809594900003535e-05,-2.3555765200000005,9.576440300001396e-05,1.57098632,0.786,0.04,0.039999995,-9.82588734999998,0.00142835455481212,0.0037623605699921357,-0.00010622012550046169,-0.006243766844278996,6.430283400026487e-05
0.0975,0.0001688672040000071,-0.7853174549999995,4.086679095000281e-05,-2.3555860600000007,9.599001650001108e-05,1.57098641,0.786,0.04,0.039999995,-9.825600924999986,0.0014689366915282983,0.0036352001849937546,-0.00011368544025036665,-0.006348150596027647,6.858548700021034e-05
0.1,0.0001690119000000082,-0.7853058599999996,4.092398700000322e-05,-2.3555956000000005,9.621563000001258e-05,1.5709865,0.786,0.04,0.039999995,-9.825314499999994,0.0015095188282447014,0.003508039799996364,-0.00012115075500037223,-0.006452534347776076,7.286814000020602e-05
