time,j1,j2,j3,j4,j5,j6,j7,gripper1,gripper2,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
0.0,0.00016703313,-0.78463066,4.018289e-05,-2.3561552,9.3351664e-05,1.5709763,0.7860001,1.2118691e-05,1.21186895e-05,-9.809999465942385,0.0006323276320472,-0.0050887167453765,0.0,-0.0,0.0
0.0025,0.000166976988,-0.784628341,4.00941305e-05,-2.3561570599999997,0.0001035252543999999,1.5709763300000001,0.785999965,0.0004821703923499954,0.00048241144107499546,-9.853763961791993,-2.5550433201738747e-05,-0.01981250084936597,-4.4831340346717767e-07,-0.001925457688048451,-0.00010606557189020896
0.005,0.000166920846,-0.784626022,4.0005371e-05,-2.35615892,0.00011369884479999979,1.57097636,0.78599983,0.0009522220936999909,0.000952704192649991,-9.897528457641602,-0.0006834284984506775,-0.03453628495335544,-8.966268069343553e-07,-0.003850915376096902,-0.00021213114378041792
0.0075,0.000166864704,-0.784623703,3.99166115e-05,-2.3561607799999997,0.0001238724351999997,1.57097639,0.785999695,0.001422273795049986,0.0014229969442249863,-9.94129295349121,-0.001341306563699616,-0.04926006905734491,-1.344940210401533e-06,-0.0057763730641453535,-0.00031819671567062685
0.01,0.00016680856199999998,-0.784621384,3.9827852e-05,-2.35616264,0.0001340460255999996,1.57097642,0.78599956,0.0018923254963999817,0.001893289695799982,-9.985057449340818,-0.001999184628948555,-0.06398385316133438,-1.7932536138687107e-06,-0.007701830752193804,-0.00042426228756083583
0.0125,0.00016675242,-0.784619065,3.97390925e-05,-2.3561644999999998,0.0001442196159999995,1.57097645,0.785999425,0.002362377197749977,0.0023635824473749773,-10.028821945190426,-0.0026570626941974937,-0.07870763726532386,-2.2415670173358883e-06,-0.009627288440242257,-0.0005303278594510448
0.015,0.000166696278,-0.784616746,3.9650333000000006e-05,-2.35616636,0.00015439320639999937,1.57097648,0.78599929,0.002832428899099972,0.0028338751989499724,-10.072586441040036,-0.003314940759446432,-0.09343142136931332,-2.689880420803066e-06,-0.011552746128290707,-0.0006363934313412537
0.0175,0.000166664093,-0.784614485,3.959198925e-05,-2.356168195,0.00016062370100000008,1.5709765,0.7859992,0.003293196814999972,0.0032947970149999717,-10.100156918374118,-0.001322094109065902,-0.048400680435111074,-7.582437486611498e-05,-0.013077893801149093,-0.0005210209789535003
0.02,0.000166679822,-0.78461234,3.9594477e-05,-2.35616998,0.0001589680040000001,1.5709765,0.7859992,0.003735397159999973,0.003736976959999973,-10.095339358677139,0.005972201972575099,0.11613911057550924,-0.00029433123139515846,-0.013802421443627116,3.7227521990306476e-05
0.0225,0.000166695551,-0.784610195,3.959696475e-05,-2.356171765,0.00015731230700000008,1.5709765,0.7859992,0.004177597504999974,0.004179156904999974,-10.09052179898016,0.013266498054216102,0.28067890158612957,-0.0005128380879242019,-0.01452694908610514,0.0005954760229341131
