time,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
1769645286.620328,-10.034670,-0.013152,0.357484,-0.006872,-0.009010,0.000153,-9.782400,-0.033477,0.139885,0.001833,-0.009621,0.005498,-9.815877,0.214012,0.218197,-0.011148,0.005956,-0.002291,-9.595288,0.062171,0.147059,0.008094,0.007025,-0.005803
1769645286.620328,-9.959349,-0.062171,0.282162,-0.010232,-0.011912,0.000611,-9.760281,-0.098039,0.257054,0.005192,-0.010232,0.003512,-9.794355,0.154232,0.197872,-0.010079,0.003360,-0.003054,-9.555235,-0.016738,0.170971,0.008094,0.003971,-0.004734
1769645286.620328,-10.033475,-0.062171,0.401722,-0.007941,-0.011912,-0.000305,-9.833811,-0.075323,0.265423,0.004734,-0.007636,0.003360,-9.846962,0.169775,0.345528,-0.010079,0.007178,-0.003665,-9.643112,0.011956,0.202056,0.009621,0.007025,-0.005498
1769645286.620328,-9.985652,0.006576,0.314443,-0.005651,-0.011454,0.000611,-9.766856,-0.017934,0.193687,0.003360,-0.009621,0.003054,-9.815279,0.229555,0.334768,-0.009774,0.007941,-0.004123,-9.623384,0.045433,0.198470,0.006261,0.007025,-0.003818
1769645286.620328,-9.898971,-0.010760,0.184122,-0.007330,-0.006414,0.000611,-9.714250,-0.054998,0.222382,0.002291,-0.010843,0.004734,-9.760879,0.215806,0.205643,-0.011301,0.005345,-0.000611,-9.543280,0.070540,0.175753,0.007025,0.005192,-0.003360
1769645286.620328,-9.886416,-0.072334,0.239120,-0.007330,-0.009316,0.000611,-9.705881,-0.115973,0.247489,0.005803,-0.012828,0.006261,-9.728598,0.129723,0.175753,-0.012523,0.004429,-0.003054,-9.537899,-0.031086,0.193687,0.005803,0.003665,-0.005651
1769645286.620328,-9.946198,-0.033477,0.282162,-0.006414,-0.006414,-0.002138,-9.740554,-0.052606,0.241511,0.003207,-0.009774,0.000305,-9.770443,0.193687,0.295313,-0.009010,0.000000,-0.005192,-9.580342,0.023314,0.238522,0.007789,0.007483,-0.005345
1769645286.620328,-9.900764,0.040650,0.228360,-0.004887,-0.005803,-0.002902,-9.699306,-0.022716,0.253467,0.003207,-0.011912,-0.000305,-9.714250,0.245098,0.279770,-0.007789,0.004581,-0.002443,-9.508607,0.081301,0.282162,0.005651,0.007483,-0.005192
1769645286.620328,-9.796746,0.008369,0.157221,-0.004429,-0.008858,-0.000305,-9.593494,-0.025108,0.297704,0.005803,-0.011301,0.003207,-9.640123,0.217599,0.153037,-0.007025,0.005040,-0.002291,-9.409372,0.069345,0.249880,0.007330,0.004429,-0.005345
1769645286.621333,-9.788378,-0.031086,0.218795,-0.006109,-0.011759,-0.001069,-9.598875,-0.077116,0.289335,0.005803,-0.012828,0.002596,-9.655666,0.181133,0.181731,-0.012065,0.000764,-0.000458,-9.439262,0.042444,0.222382,0.010537,0.002596,-0.006109
1769645286.621333,-9.930654,-0.019130,0.369440,-0.005498,-0.010385,0.000153,-9.743543,-0.052606,0.271401,0.004123,-0.009927,0.002596,-9.797942,0.186514,0.349713,-0.011606,0.004581,-0.003512,-9.563604,0.035868,0.215208,0.006414,0.002596,-0.004276
1769645286.621333,-9.940218,-0.001196,0.338355,-0.008399,-0.005956,-0.002138,-9.709468,-0.069345,0.272597,0.005956,-0.010385,0.002443,-9.758488,0.174558,0.355093,-0.011606,0.005040,-0.004429,-9.542084,0.033477,0.258250,0.004734,0.003818,-0.007789
1769645286.621333,-9.832614,0.020325,0.236729,-0.008094,-0.007330,-0.001222,-9.615016,-0.037064,0.307867,0.005956,-0.010385,0.001985,-9.640123,0.203252,0.193089,-0.008094,0.004581,-0.002596,-9.461978,0.076518,0.245098,0.007330,0.007483,-0.007178
1769645286.621333,-9.837397,-0.016738,0.173362,-0.007483,-0.004276,-0.000764,-9.594690,-0.054998,0.252272,0.005956,-0.008705,0.005040,-9.670013,0.192492,0.178144,-0.008094,0.003818,-0.003360,-9.475728,0.044237,0.216404,0.007025,0.007483,-0.006261
1769645286.621333,-9.888808,-0.003587,0.337159,-0.008247,-0.005651,-0.000764,-9.702294,-0.047226,0.277977,0.005192,-0.008247,0.003360,-9.734576,0.205643,0.324605,-0.011301,0.005345,-0.003818,-9.518172,0.040650,0.243305,0.006872,0.005651,-0.006414
1769645286.621333,-9.919893,0.013152,0.274390,-0.005956,-0.007025,-0.002291,-9.687349,-0.041248,0.263032,0.001222,-0.009927,0.003054,-9.748923,0.206839,0.322812,-0.008705,0.008552,-0.005040,-9.533715,0.062171,0.249283,0.005956,0.007483,-0.005803
1769645286.621333,-9.814083,0.009565,0.205643,-0.006720,-0.008094,-0.001069,-9.619201,-0.039455,0.295313,0.001374,-0.010690,0.002443,-9.675991,0.222382,0.225371,-0.007330,0.002902,-0.005040,-9.484695,0.084290,0.234338,0.006567,0.007483,-0.006414
