time,acc_x_g,acc_y_g,acc_z_g,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1765407767.964894,-8.749401,0.319823,-4.528933,-0.007789,-0.005345,0.000764
1765407767.965144,-8.682447,0.335366,-4.600669,-0.010079,-0.008094,-0.000458
1765407767.965394,-8.641797,0.306074,-4.545671,-0.004581,-0.008094,-0.001222
1765407767.965644,-8.648373,0.282162,-4.641319,-0.009163,-0.006261,0.001069
1765407767.965950,-8.713532,0.303682,-4.601864,-0.008247,-0.007483,0.000458
1765407767.966150,-8.749401,0.337159,-4.526542,-0.008552,-0.007330,-0.000458
1765407767.966350,-8.654949,0.266619,-4.472740,-0.008858,-0.006414,-0.001527
1765407767.966550,-8.596364,0.219990,-4.427307,-0.008094,-0.011148,-0.002749
1765407767.966750,-8.535389,0.296509,-4.356766,-0.008094,-0.006414,-0.000611
1765407767.966886,-8.304638,0.237924,-4.497848,-0.007025,-0.005345,-0.002291
1765407767.967136,-8.139048,0.251076,-4.412960,-0.006261,-0.009316,-0.005498
1765407767.967386,-8.104973,0.196078,-4.293997,-0.007789,-0.014355,-0.003054
1765407767.967636,-7.955523,0.065160,-4.341224,-0.007789,-0.014508,-0.006567
1765407767.967908,-7.922644,0.248685,-4.285031,-0.004581,-0.022907,-0.011301
1765407767.968158,-8.034432,0.319225,-4.094930,-0.006720,-0.034056,-0.010843
1765407767.968408,-7.986010,0.047226,-4.288618,-0.007330,-0.034056,-0.011912
1765407767.968658,-7.999760,-0.083692,-4.367527,-0.013744,-0.038332,-0.026725
1765407767.968938,-7.976446,-0.000598,-4.570779,-0.014508,-0.040928,-0.037415
1765407767.969188,-8.030248,-0.055595,-4.636537,-0.018173,-0.041692,-0.041844
1765407767.969438,-8.234695,-0.156624,-4.642515,-0.022449,-0.043371,-0.051007
1765407767.969688,-8.431970,0.006576,-4.592300,-0.024435,-0.043371,-0.063072
1765407767.969987,-8.466043,0.078910,-4.882233,-0.026573,-0.040012,-0.064599
1765407767.970237,-8.621472,0.114778,-4.964729,-0.034056,-0.051924,-0.074220
1765407767.970487,-8.895264,0.273792,-4.800334,-0.038026,-0.052076,-0.081398
1765407767.970737,-9.042323,0.214610,-4.784791,-0.045357,-0.057269,-0.084605
1765407767.970906,-9.157101,0.413678,-4.900765,-0.052840,-0.056200,-0.093921
1765407767.971156,-9.115254,0.578670,-4.891798,-0.060170,-0.056352,-0.093921
1765407767.971406,-9.223456,0.763988,-4.676589,-0.066279,-0.073304,-0.092088
1765407767.971656,-9.308942,0.510521,-4.867288,-0.081856,-0.073304,-0.087812
1765407767.971976,-9.308942,0.510521,-4.867288,-0.081856,-0.086590,-0.087812
1765407767.972226,-9.343615,0.815399,-4.909732,-0.094684,-0.083078,-0.094073
1765407767.972476,-9.231229,0.841105,-5.157818,-0.106443,-0.091630,-0.087812
1765407767.972726,-9.148731,0.658178,-5.313247,-0.114079,-0.096517,-0.086132
1765407767.973010,-9.163078,0.552367,-5.347321,-0.115759,-0.098197,-0.081703
1765407767.973260,-9.163078,0.552367,-5.347321,-0.115759,-0.102167,-0.081703
1765407767.973510,-9.194762,0.490196,-5.376614,-0.127518,-0.104153,-0.090713
1765407767.973760,-9.350190,0.871592,-5.093854,-0.136223,-0.106596,-0.090561
1765407767.973940,-9.351983,0.747250,-5.169775,-0.144164,-0.111941,-0.081398
1765407767.974190,-9.482305,0.535031,-5.173361,-0.150578,-0.120951,-0.079565
1765407767.974440,-9.261118,0.439981,-5.411286,-0.158978,-0.129198,-0.083689
1765407767.974690,-9.334647,0.749641,-5.448349,-0.166919,-0.138056,-0.087354
1765407767.974971,-9.534313,1.080822,-5.272596,-0.182649,-0.138208,-0.086896
1765407767.975221,-9.306551,0.848876,-5.700621,-0.196240,-0.150426,-0.074678
1765407767.975471,-9.444045,0.779531,-5.323410,-0.203876,-0.150426,-0.074526
1765407767.975721,-9.548061,0.670732,-5.309062,-0.215788,-0.151342,-0.073915
1765407767.976004,-9.615016,0.611549,-5.153634,-0.224188,-0.155771,-0.072540
1765407767.976337,-9.692730,0.632472,-5.037064,-0.225562,-0.162948,-0.071013
1765407767.976671,-9.479913,0.304280,-5.193089,-0.231823,-0.174707,-0.072082
1765407767.976916,-9.395025,0.549976,-5.649210,-0.243430,-0.176845,-0.073762
1765407767.977166,-9.628167,0.656384,-5.252869,-0.257938,-0.188146,-0.075136
1765407767.977416,-9.677187,0.533238,-5.062768,-0.258396,-0.187383,-0.066126
1765407767.977666,-9.849951,0.529651,-5.273792,-0.274278,-0.191201,-0.070402
1765407767.977959,-9.849951,0.529651,-5.273792,-0.274278,-0.187536,-0.070402
1765407767.978209,-9.467957,0.533238,-5.306073,-0.287412,-0.193950,-0.056963
1765407767.978459,-9.447632,0.547585,-5.324007,-0.301615,-0.211665,-0.063225
1765407767.978709,-9.781802,0.456121,-5.066953,-0.319024,-0.214108,-0.062461
1765407767.978905,-10.210424,0.556552,-4.606647,-0.316123,-0.225562,-0.056505
1765407767.979238,-9.649688,0.318030,-5.204447,-0.328951,-0.227547,-0.059254
1765407767.979572,-9.567192,0.466284,-5.058584,-0.332769,-0.233045,-0.060323
1765407767.979981,-9.303562,0.396341,-5.502152,-0.342237,-0.233045,-0.054520
1765407767.980231,-9.557029,0.795074,-5.236728,-0.352011,-0.250913,-0.056963
1765407767.980481,-9.794355,0.381396,-4.463175,-0.359189,-0.259007,-0.045662
1765407767.980731,-9.466762,0.484218,-5.381396,-0.360869,-0.261145,-0.041539
1765407767.980899,-8.855809,0.493185,-6.293041,-0.381638,-0.258701,-0.047189
1765407767.981149,-9.458989,0.638450,-4.976685,-0.386067,-0.280387,-0.038179
1765407767.981399,-9.861309,-0.324605,-4.450023,-0.393245,-0.274737,-0.033750
1765407767.981649,-9.198947,0.196078,-5.888330,-0.403324,-0.274737,-0.046273
1765407767.981879,-8.751195,0.573290,-6.104734,-0.414472,-0.282372,-0.044440
1765407767.982212,-9.653872,0.486609,-4.262314,-0.419206,-0.303142,-0.029016
1765407767.982546,-9.653872,0.486609,-4.262314,-0.419206,-0.310167,-0.029016
1765407767.983000,-10.083690,0.609756,-5.053802,-0.435547,-0.301462,-0.038179
1765407767.983250,-9.148731,0.539216,-5.511716,-0.442572,-0.311999,-0.028100
1765407767.983500,-8.988521,0.243902,-5.181730,-0.444710,-0.336739,-0.020769
1765407767.983750,-9.564202,0.328790,-5.044237,-0.458760,-0.335518,-0.025809
1765407767.983960,-9.894786,0.689861,-5.154232,-0.472352,-0.329715,-0.028863
1765407767.984210,-9.635341,0.343137,-5.094451,-0.477697,-0.335060,-0.023060
1765407767.984460,-9.895982,0.430416,-4.739358,-0.485180,-0.344528,-0.021228
1765407767.984710,-9.929459,0.080105,-4.760282,-0.504117,-0.357356,-0.026878
1765407767.985003,-9.763867,0.300693,-4.587517,-0.494648,-0.357814,-0.026878
1765407767.985253,-10.370635,0.276184,-4.637733,-0.485943,-0.363923,-0.014813
1765407767.985503,-9.982065,0.138690,-4.693926,-0.482889,-0.378584,-0.020617
1765407767.985753,-9.487086,0.304878,-5.692251,-0.488998,-0.379195,-0.021380
1765407767.986056,-9.336440,0.603778,-5.382592,-0.482431,-0.387747,-0.010385
1765407767.986389,-9.643710,-0.013152,-4.840984,-0.496939,-0.396604,-0.003665
1765407767.986723,-10.179338,0.228360,-4.300573,-0.488692,-0.396604,-0.008705
1765407767.986939,-9.282639,-0.056791,-5.361071,-0.508851,-0.386983,-0.010079
1765407767.987189,-9.619798,0.610952,-5.052606,-0.512058,-0.419512,-0.013592
1765407767.987439,-9.882831,0.566117,-4.145145,-0.515112,-0.426689,0.001680
1765407767.987689,-10.041844,0.125538,-4.442850,-0.525650,-0.437380,0.005651
1765407767.987946,-9.635341,-0.039455,-4.680774,-0.536034,-0.437380,0.002596
1765407767.988196,-9.635341,-0.039455,-4.680774,-0.536034,-0.433714,0.002596
1765407767.988446,-9.439262,-0.130918,-5.093256,-0.542601,-0.452651,0.001222
1765407767.988696,-10.526062,0.982783,-3.754184,-0.540921,-0.445015,0.002749
1765407767.988903,-10.667144,0.109995,-3.237087,-0.561232,-0.442877,0.025351
1765407767.989153,-9.758488,-0.121951,-4.654471,-0.553138,-0.445168,0.027031
1765407767.989403,-9.293399,-0.240316,-4.934839,-0.564592,-0.464258,0.022907
1765407767.989653,-9.710664,0.077714,-4.340626,-0.556804,-0.467770,0.027489
1765407767.990011,-9.155307,-0.552367,-4.768651,-0.559705,-0.467770,0.033445
1765407767.990261,-9.927666,-0.370636,-3.668101,-0.559705,-0.483347,0.033445
1765407767.990511,-9.824244,-0.150048,-4.312530,-0.543823,-0.472504,0.027794
1765407767.990761,-9.263509,-0.459708,-5.056192,-0.539852,-0.488387,0.032834
1765407767.990985,-10.205642,-0.142874,-3.667503,-0.534202,-0.485332,0.026725
1765407767.991235,-10.395144,0.139287,-3.137254,-0.538783,-0.485332,0.025351
1765407767.991485,-9.103298,0.074725,-5.119559,-0.528857,-0.481667,0.038026
1765407767.991735,-7.827593,0.124342,-6.102941,-0.542448,-0.495717,0.036041
1765407767.991910,-8.955045,0.234338,-5.133906,-0.538325,-0.527177,0.039706
1765407767.992243,-10.224174,0.066954,-3.611908,-0.544586,-0.525650,0.049022
1765407767.992577,-10.348516,0.003587,-3.865375,-0.548710,-0.525650,0.048258
1765407767.992978,-9.866092,-0.379603,-4.322094,-0.554055,-0.506255,0.048258
1765407767.993228,-9.725011,-0.663558,-4.279052,-0.546877,-0.544434,0.052687
1765407767.993478,-10.287540,-0.784314,-3.347082,-0.550542,-0.544434,0.051007
1765407767.993728,-10.507531,-0.570301,-3.396102,-0.529315,-0.546266,0.057269
1765407767.993874,-9.894188,-0.407700,-3.723696,-0.525039,-0.536645,0.064294
1765407767.994124,-9.336440,-1.025825,-3.895265,-0.525039,-0.539699,0.064294
1765407767.994374,-9.279650,-1.015662,-4.447632,-0.516639,-0.547030,0.069791
1765407767.994624,-9.642514,-0.686872,-3.511477,-0.509767,-0.562454,0.061392
1765407767.994906,-9.894786,0.104017,-2.846724,-0.494801,-0.558789,0.059254
1765407767.995239,-9.244379,0.007174,-4.638928,-0.481667,-0.548099,0.084299
1765407767.995573,-8.156384,-0.610952,-5.380200,-0.450819,-0.569632,0.097280
1765407767.995935,-9.200740,-0.315041,-3.291487,-0.464716,-0.583224,0.075442
1765407767.996185,-9.846365,-0.391559,-3.335724,-0.454942,-0.573908,0.084452
1765407767.996435,-8.696795,0.147657,-4.917503,-0.433714,-0.570243,0.092088
1765407767.996685,-8.875537,-0.412482,-3.248445,-0.459065,-0.578031,0.086285
1765407767.996930,-10.422045,0.604974,-2.304519,-0.442572,-0.578031,0.098197
1765407767.997180,-9.435676,-0.513510,-4.154710,-0.433256,-0.568257,0.120493
1765407767.997430,-9.773433,-0.342539,-3.466642,-0.442419,-0.578642,0.099876
1765407767.997680,-9.674795,-0.399330,-3.156384,-0.456316,-0.577573,0.094226
1765407767.998021,-9.096126,0.221186,-3.755977,-0.434478,-0.590401,0.108887
1765407767.998271,-8.842658,-0.212219,-4.276661,-0.459829,-0.601091,0.100335
1765407767.998521,-8.959229,-0.044237,-4.558823,-0.444863,-0.565508,0.101709
1765407767.998771,-8.473217,-0.905069,-4.514585,-0.441197,-0.565508,0.117897
1765407767.998933,-8.844451,-1.061693,-4.026781,-0.425162,-0.593608,0.105985
1765407767.999266,-9.198349,-0.579866,-3.247250,-0.414777,-0.581544,0.095142
1765407767.999600,-8.309421,-0.456719,-4.109277,-0.379500,-0.574824,0.116981
1765407767.999963,-8.478000,-0.885342,-3.956240,-0.362701,-0.598648,0.119271
1765407768.000213,-8.831300,-1.099354,-3.721305,-0.343917,-0.602924,0.112857
1765407768.000463,-8.774508,-0.407700,-3.712338,-0.336434,-0.587041,0.098044
1765407768.000713,-9.060855,-0.099235,-3.414634,-0.326355,-0.598037,0.094379
1765407768.000936,-9.488282,-0.148254,-2.977642,-0.322995,-0.606436,0.101709
1765407768.001186,-9.258129,0.004782,-3.677666,-0.323759,-0.615752,0.096517
1765407768.001436,-9.843375,0.787900,-2.831181,-0.320093,-0.596663,0.091630
1765407768.001686,-9.537301,0.698828,-2.713414,-0.320857,-0.580627,0.108123
1765407768.001924,-8.680057,0.675514,-3.443328,-0.326202,-0.603077,0.118202
1765407768.002174,-8.182687,0.123745,-4.595887,-0.333227,-0.609644,0.113163
1765407768.002424,-8.747010,-0.010760,-3.944882,-0.328798,-0.605520,0.120646
1765407768.002674,-9.397416,0.106408,-3.071496,-0.321621,-0.591928,0.126296
1765407768.002962,-9.262314,0.214012,-3.307030,-0.329562,-0.593150,0.113774
1765407768.003295,-8.880918,0.242707,-3.528216,-0.354607,-0.596357,0.107207
1765407768.003629,-7.345169,-0.060976,-5.260042,-0.329256,-0.600175,0.129045
1765407768.003942,-7.605810,-0.459110,-4.968914,-0.331242,-0.621250,0.118508
1765407768.004192,-9.545073,-0.644428,-1.916547,-0.311541,-0.611476,0.111941
1765407768.004442,-10.640841,-0.072334,-1.959589,-0.285121,-0.589790,0.109650
1765407768.004692,-9.571974,-0.320421,-3.740435,-0.258854,-0.600480,0.114385
1765407768.004952,-9.168459,0.170373,-3.668101,-0.252135,-0.600786,0.102625
1765407768.005202,-10.054996,-0.249880,-2.207078,-0.237627,-0.605062,0.115606
1765407768.005452,-10.312051,0.227762,-2.264467,-0.210901,-0.598953,0.118202
1765407768.005702,-9.737565,0.065758,-2.806073,-0.246331,-0.602466,0.095600
1765407768.005935,-10.243901,1.150167,-2.963295,-0.224798,-0.597273,0.101556
1765407768.006185,-9.173840,0.151841,-4.226447,-0.217621,-0.603535,0.130267
1765407768.006435,-9.436274,-0.024510,-2.796509,-0.220370,-0.608575,0.109192
