time,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
0.000000000,0.314144061,0.045635465,0.134504195,0.000000000,-0.021220659,-0.112545281,0.000000000,0.923879533,0.382683432,-0.000000000
0.002500000,1.384185761,0.193452765,0.603496286,0.000010945,-0.031304529,-0.125960124,0.000011912,0.923936697,0.382545395,0.000028781
0.005000000,1.952296819,0.328864787,0.866736843,0.000004259,-0.054896258,-0.105013819,0.000031932,0.923993580,0.382407971,0.000077155
0.007500000,1.279054851,0.370366631,0.607764078,-0.000016012,-0.079385957,-0.104398807,0.000064547,0.924041991,0.382290949,0.000155914
0.010000000,-0.207544919,0.315327033,0.004124617,-0.000040766,-0.091995371,-0.091697825,0.000106073,0.924090893,0.382172662,0.000256145
0.012500000,-1.685003315,0.175413252,-0.601095261,-0.000048421,-0.086112644,-0.082127531,0.000149278,0.924129919,0.382078186,0.000360378
0.015000000,-2.332990794,-0.002753140,-0.863120673,-0.000023145,-0.068117149,-0.089539516,0.000186597,0.924172053,0.381976149,0.000450411
0.017500000,-1.724491090,-0.166284635,-0.602181949,-0.000009283,-0.050528999,-0.079334178,0.000214410,0.924210492,0.381883034,0.000517513
0.020000000,-0.285026462,-0.267984732,0.003581329,0.000025744,-0.045792157,-0.102747275,0.000236675,0.924253489,0.381778871,0.000571260
0.022500000,1.166880108,-0.270031429,0.609680773,-0.000014138,-0.060294976,-0.095278179,0.000261344,0.924300450,0.381665052,0.000630811
0.025000000,1.810639584,-0.175642981,0.871455818,-0.000048796,-0.087313764,-0.116322206,0.000295935,0.924348966,0.381547363,0.000714244
0.027500000,1.222295286,-0.003362580,0.609543798,-0.000136175,-0.114019069,-0.110373809,0.000344514,0.924404091,0.381413512,0.000831349
0.030000000,-0.174835998,0.195104034,0.001178255,-0.000185444,-0.127642345,-0.111684458,0.000402767,0.924454309,0.381291390,0.000971650
0.032500000,-1.561082735,0.362072274,-0.609224271,-0.000188053,-0.121452223,-0.107617255,0.000462837,0.924507788,0.381161238,0.001116296
0.035000000,-2.119930915,0.451780487,-0.875148744,-0.000183077,-0.101915926,-0.087794241,0.000516582,0.924551869,0.381053833,0.001245625
0.037500000,-1.429705794,0.431318346,-0.615981357,-0.000111450,-0.081518325,-0.089958970,0.000559692,0.924594250,0.380950574,0.001349350
0.040000000,0.082949216,0.315186142,-0.009602860,-0.000165337,-0.072893716,-0.064240538,0.000595693,0.924629463,0.380864726,0.001435903
0.042500000,1.596079451,0.135198451,0.597910624,-0.000179695,-0.082467660,-0.075379232,0.000631899,0.924660812,0.380788214,0.001522864
0.045000000,2.288466691,-0.050060666,0.859948449,-0.000327797,-0.103776500,-0.061810689,0.000675574,0.924692909,0.380709756,0.001627719
0.047500000,1.735086791,-0.182181922,0.596525135,-0.000377445,-0.124127708,-0.076074132,0.000730243,0.924722044,0.380638298,0.001758867
0.050000000,0.357864235,-0.226259503,-0.014936513,-0.000403528,-0.131009489,-0.080646598,0.000791505,0.924759022,0.380547621,0.001905884
0.052500000,-1.025338980,-0.163252746,-0.627919100,-0.000334435,-0.117923943,-0.085209757,0.000851159,0.924794001,0.380461736,0.002048958
0.055000000,-1.597152891,-0.019238418,-0.894013572,-0.000148424,-0.091562760,-0.099380786,0.000901192,0.924836858,0.380356765,0.002169036
0.057500000,-0.938048369,0.166599404,-0.632259254,-0.000078949,-0.064674471,-0.085707436,0.000937219,0.924876784,0.380259081,0.002255456
